second,mode,input_ug,corrected_ug,offset_ug,state,automatic_rebuild_count
506,STATIC,-72648,-72648,0,4,0
507,STATIC,-72648,-72648,0,4,0
508,STATIC,-79970,-79970,0,4,0
509,STATIC,-80533,-80533,0,4,0
510,STATIC,-71522,-71522,0,4,0
511,STATIC,-76590,-76590,0,4,0
512,STATIC,-69832,-69832,0,4,0
513,STATIC,-68706,-68706,0,4,0
514,STATIC,-74901,-74901,0,4,0
515,STATIC,-77717,-77717,0,4,0
516,STATIC,-73775,-73775,0,4,0
517,STATIC,-77154,-77154,0,4,0
518,STATIC,-75464,-75464,0,4,0
519,STATIC,-74902,-74902,0,4,0
520,STATIC,-69832,-69832,0,4,0
521,STATIC,-74901,-74901,0,4,0
522,STATIC,-72648,-72648,0,4,0
523,STATIC,-65328,-65328,0,4,0
524,STATIC,-69832,-69832,0,4,0
525,STATIC,-75464,-75464,0,4,0
526,STATIC,-80533,-80533,0,4,0
527,STATIC,-80532,-80532,0,4,0
528,STATIC,-85038,-85038,0,4,0
529,STATIC,-82222,-82222,0,4,0
530,STATIC,-83348,-83348,0,4,0
531,STATIC,-85038,-85038,0,4,0
532,STATIC,-81659,-81659,0,4,0
533,STATIC,-78843,-78843,0,4,0
534,STATIC,-78844,-78844,0,4,0
535,STATIC,-85038,-85038,0,4,0
536,STATIC,-82786,-82786,0,4,0
537,STATIC,-76028,-76028,0,4,0
538,STATIC,-72086,-72086,0,4,0
539,STATIC,-74338,-74338,0,4,0
540,STATIC,-74902,-74902,0,4,0
541,STATIC,-80532,-80532,0,4,0
542,STATIC,-82786,-82786,0,4,0
543,STATIC,-81096,-81096,0,4,0
544,STATIC,-78280,-78280,0,4,0
545,STATIC,-78844,-78844,0,4,0
546,STATIC,-72648,-72648,0,4,0
547,STATIC,-72085,-72085,0,4,0
548,STATIC,-79406,-79406,0,4,0
549,STATIC,-81660,-81660,0,4,0
550,STATIC,-82786,-82786,0,4,0
551,STATIC,-81659,-81659,0,4,0
552,STATIC,-81096,-81096,0,4,0
553,STATIC,-70959,-70959,0,4,0
554,STATIC,-69270,-69270,0,4,0
555,STATIC,-73212,-73212,0,4,0
556,STATIC,-80532,-80532,0,4,0
557,STATIC,-79970,-79970,0,4,0
